PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:11:52 || Ricerca utente 'test test'
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:11:57 || Modifica dati abbonamento utente ID: '88888888'
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:11:57 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:12:00 || Entrata utenteente 'test test'
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:12:37 || Avvio applicazione
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:12:38 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:12:44 || Entrata utenteente 'test test'
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:13:06 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:13:12 || Entrata utenteente 'test test'
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:13:12 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:13:17 || Entrata utenteente 'test test'
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:13:17 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:18:22 || Avvio applicazione
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:18:27 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:18:30 || Ricerca utente 'test test'
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:18:35 || Modifica dati abbonamento utente ID: '88888888'
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:18:35 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:18:43 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:18:43 || Entrata utente 'test test'
PalestraTest.vshost.exe Error: 0 : 30/09/2017 02:18:43 || L'oggetto nullable deve avere un valore.
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:19:29 || Avvio applicazione
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:19:31 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:19:34 || Ricerca utente 'test test'
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:19:44 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:19:44 || Entrata utente 'test test'
PalestraTest.vshost.exe Error: 0 : 30/09/2017 02:19:44 || L'oggetto nullable deve avere un valore.
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:19:45 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:19:45 || Entrata utente 'test test'
PalestraTest.vshost.exe Error: 0 : 30/09/2017 02:19:45 || L'oggetto nullable deve avere un valore.
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:20:17 || Avvio applicazione
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:20:18 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:20:21 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:20:21 || Entrata utente 'test test'
PalestraTest.vshost.exe Error: 0 : 30/09/2017 02:20:21 || L'oggetto nullable deve avere un valore.
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:20:36 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:20:36 || Entrata utente 'test test'
PalestraTest.vshost.exe Error: 0 : 30/09/2017 02:20:51 || L'oggetto nullable deve avere un valore.
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:21:56 || Avvio applicazione
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:21:57 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:22:01 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:22:01 || Entrata utente 'test test'
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:22:12 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:22:12 || Entrata utente 'test test'
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:22:19 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:22:19 || Entrata utente 'test test'
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:22:26 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:22:26 || Entrata utente 'test test'
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:22:33 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:22:33 || Entrata utente 'test test'
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:22:39 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:22:39 || Entrata utente 'test test'
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:22:46 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:22:46 || Entrata utente 'test test'
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:22:52 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:22:52 || Entrata utente 'test test'
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:22:59 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:22:59 || Entrata utente 'test test'
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:23:05 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:23:05 || Entrata utente 'test test'
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:23:12 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:23:12 || Entrata utente 'test test'
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:35:43 || Inserimento utente 'test mensile'
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:35:45 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:35:58 || Ricerca utente 'test mensile'
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:36:06 || Modifica dati abbonamento utente ID: '55555555'
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:36:06 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:36:16 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:36:16 || Entrata utente 'test mensile'
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:44:34 || Avvio applicazione
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:44:35 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:49:46 || Avvio applicazione
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:49:47 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:49:55 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:49:55 || Entrata utente 'lezione singola'
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:50:02 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:50:02 || Entrata utente 'lezione singola'
PalestraTest.exe Information: 0 : 30/09/2017 13:28:22 || Avvio applicazione
PalestraTest.exe Information: 0 : 30/09/2017 13:28:23 || Controllo abbonamenti ... 
